,Country,Code,Year,Pop_w_depression
79,Greenland,GRL,2016,6.414756945
112,Lesotho,LSO,2016,5.981191194
135,Morocco,MAR,2016,5.872499593
95,Iran,IRN,2016,5.69492787
210,Uganda,UGA,2016,5.616770412
71,Finland,FIN,2016,5.193026391
214,United States,USA,2016,5.171768074
146,North America,,2016,5.052127405
161,Portugal,PRT,2016,5.015622274
154,Palestine,PSE,2016,5.007446865
195,Sweden,SWE,2016,4.9661645189999994
11,Australia,AUS,2016,4.949713878
10,Australasia,,2016,4.921627116
85,Guyana,GUY,2016,4.8928783319999996
193,Suriname,SUR,2016,4.770260802
141,New Zealand,NZL,2016,4.766833692
37,Central African Republic,CAF,2016,4.751552402
6,Angola,AGO,2016,4.715467221
74,Gambia,GMB,2016,4.713219875
66,Equatorial Guinea,GNQ,2016,4.655266495
35,Cape Verde,CPV,2016,4.627461601
73,Gabon,GAB,2016,4.5919069630000005
41,Central Sub-Saharan Africa,,2016,4.584226901
194,Swaziland,SWZ,2016,4.569536004
47,Congo,COG,2016,4.545957745
54,Democratic Republic of Congo,COD,2016,4.532266771000001
115,Lithuania,LTU,2016,4.531693856
72,France,FRA,2016,4.522544291
211,Ukraine,UKR,2016,4.515833647
42,Chad,TCD,2016,4.482221491000001
166,Rwanda,RWA,2016,4.473851398
19,Belgium,BEL,2016,4.469739501
97,Ireland,IRL,2016,4.466725037
78,Greece,GRC,2016,4.466287714
172,Scotland,,2016,4.45899263
113,Liberia,LBR,2016,4.452348655
148,Northern Ireland,,2016,4.442351304
16,Bangladesh,BGD,2016,4.439594552
136,Mozambique,MOZ,2016,4.425622258
0,Afghanistan,AFG,2016,4.404727497
26,Botswana,BWA,2016,4.402208226
144,Nigeria,NGA,2016,4.400742752
18,Belarus,BLR,2016,4.396416992
69,Ethiopia,ETH,2016,4.367895455
61,Eastern Sub-Saharan Africa,,2016,4.365941299
67,Eritrea,ERI,2016,4.362334719
225,Yemen,YEM,2016,4.350972912
213,United Kingdom,GBR,2016,4.34329814
87,High SDI,,2016,4.342122674
221,Wales,,2016,4.3376746630000005
65,England,,2016,4.329267229
33,Cameroon,CMR,2016,4.319252821
181,Somalia,SOM,2016,4.309901483
140,Netherlands,NLD,2016,4.301588043
191,Sub-Saharan Africa,,2016,4.298248489
145,North Africa and Middle East,,2016,4.288896032
31,Burundi,BDI,2016,4.278357098
185,South Sudan,SSD,2016,4.252548063
68,Estonia,EST,2016,4.23893904
120,Madagascar,MDG,2016,4.228447592
43,Chile,CHL,2016,4.219770154
30,Burkina Faso,BFA,2016,4.213617555
207,Tunisia,TUN,2016,4.2111876839999995
222,Western Europe,,2016,4.209268473
223,Western Sub-Saharan Africa,,2016,4.205222883
76,Germany,DEU,2016,4.1968814839999995
84,Guinea-Bissau,GNB,2016,4.192143236000001
203,Togo,TGO,2016,4.19031343
60,Eastern Europe,,2016,4.179426648
200,Tanzania,TZA,2016,4.176996556000001
176,Sierra Leone,SLE,2016,4.175993402
116,Low SDI,,2016,4.169348469
21,Benin,BEN,2016,4.16398222
226,Zambia,ZMB,2016,4.163807103
15,Bahrain,BHR,2016,4.159016171
98,Israel,ISR,2016,4.156169455
182,South Africa,ZAF,2016,4.155648032
96,Iraq,IRQ,2016,4.133472283
56,Djibouti,DJI,2016,4.1238057889999995
114,Libya,LBY,2016,4.122704839
188,Southern Sub-Saharan Africa,,2016,4.106748637
192,Sudan,SDN,2016,4.102928688
150,Norway,NOR,2016,4.080699518
83,Guinea,GIN,2016,4.067687746
165,Russia,RUS,2016,4.063449065
111,Lebanon,LBN,2016,4.008271393999999
184,South Korea,KOR,2016,4.003349716000001
5,Andorra,AND,2016,4.000259945
104,Kenya,KEN,2016,3.9996055530000003
34,Canada,CAN,2016,3.998306653
139,Nepal,NPL,2016,3.986549685
117,Low-middle SDI,,2016,3.9832097419999997
138,Namibia,NAM,2016,3.9751322589999996
143,Niger,NER,2016,3.9619673019999997
187,Southern Latin America,,2016,3.95139288
2,Algeria,DZA,2016,3.946200241
173,Senegal,SEN,2016,3.93581816
51,Cuba,CUB,2016,3.932262552
205,Trinidad and Tobago,TTO,2016,3.926058901
77,Ghana,GHA,2016,3.917623505
106,Kuwait,KWT,2016,3.906396644
