,State,Latitude,Longitude,Happiness Rank 2018,Happiness Score 2018
0,Hawaii,19.898682,-155.66585700000002,1,68.27
1,Utah,39.32098,-111.093731,2,67.84
2,Minnesota,46.729553,-94.6859,3,67.26
3,North Dakota,47.551493,-101.002012,4,65.62
4,California,36.778261,-119.41793200000001,5,63.14
5,Idaho,44.068202,-114.74204099999999,6,63.09
6,Maryland,39.045755,-76.641271,7,61.78
7,Iowa,41.878003,-93.097702,8,61.07
8,South Dakota,43.969515,-99.901813,9,60.8
9,Nebraska,41.492537,-99.901813,10,59.11
10,Wisconsin,43.784440000000004,-88.787868,11,58.87
11,Connecticut,41.603221000000005,-73.087749,12,58.24
12,New Jersey,40.058324,-74.405661,13,58.1
13,New York,43.299428000000006,-74.217933,14,57.35
14,Virginia,37.431573,-78.656894,15,57.35
15,Massachusetts,42.407211,-71.382437,16,56.85
16,Washington,47.751073999999996,-120.74013899999999,17,56.44
17,Colorado,39.550051,-105.782067,18,55.38
18,Georgia,32.157435,-82.907123,19,55.15
19,North Carolina,35.759572999999996,-79.0193,20,53.69
20,Arizona,34.048928000000004,-111.093731,21,52.92
21,Texas,31.968598999999998,-99.901813,22,52.56
22,Illinois,40.633125,-89.398528,23,52.47
23,New Hampshire,43.193852,-71.572395,24,52.37
24,Kansas,39.011902,-98.484246,25,52.3
25,Nevada,38.802609999999994,-116.419389,26,51.8
26,Delaware,38.910832,-75.52767,27,51.67
27,Montana,46.879682,-110.36256599999999,28,51.08
28,Florida,27.664827000000002,-81.515754,29,51.01
29,Pennsylvania,41.203322,-77.194525,30,50.54
30,Rhode Island,41.580095,-71.477429,31,50.44
31,Indiana,40.551217,-85.602364,32,50.2
32,Maine,45.253783,-69.44546899999999,33,49.81
33,Michigan,44.314844,-85.602364,34,49.52
34,Wyoming,43.075967999999996,-107.29028400000001,35,48.9
35,South Carolina,33.836081,-81.163725,36,48.26
36,Ohio,40.417287,-82.907123,37,48.19
37,Vermont,44.558803000000005,-72.577841,38,48.18
38,Oregon,43.804133,-120.554201,39,48.05
39,Tennessee,35.517491,-86.58044699999999,40,46.13
40,New Mexico,34.97273,-105.03236299999999,41,43.35
41,Missouri,37.964253,-91.83183299999999,42,42.76
42,Mississippi,32.354668,-89.398528,43,41.63
43,Kentucky,37.839333,-84.27001800000001,44,39.42
44,Alabama,32.318231,-86.902298,45,39.35
45,Oklahoma,35.007752,-97.092877,46,38.89
46,Alaska,63.588753000000004,-154.493062,47,38.21
47,Louisiana,31.244822999999997,-92.14502399999999,48,37.15
48,Arkansas,35.20105,-91.83183299999999,49,36.61
49,West Virginia,38.597626,-80.454903,50,33.42
