Lat,Lon,Country,Sunlight,Temp,Cloud
-40.900557,174.885971,New Zealand,159695.75,64.50819672,40.0273224
-25.274398,133.775136,Australia,219802.26,83.81967213,17.29508197
-23.442503,-58.443832,Paraguay,192907.23,91.79234973,27.59836066
-20.348404,57.552152,Mauritius,119776,80.54644809,54.88251366
-18.766947,46.869107,Madagascar,178899.53,75.62295082,32.44535519
-9.189967,-75.015152,Peru,167880.94,97.30054645,36.7568306
-6.369028,34.888822,Tanzania,189145.42,87.42076503,28.80874317
-3.373056,29.918886,Burundi,200225.05,77.58196721,24.68306011
-1.940278,29.873888,Rwanda,196299.87,82.53825137,26.20765027
6.428055,-9.429499,Liberia,135404.54,91.74043716,48.87431694
8.619543,0.824782,Togo,189687.35,96.34972678,28.27868852
9.30769,2.315834,Benin,183734.46,97.55737705,30.46994536
9.945587,-9.696645,Guinea,193411.69,98.18852459,26.93989071
18.109581,-77.297508,Jamaica,161354.25,89.38797814,39.36885246
26.3351,17.228331,Libya,244992.11,88.77322404,8.576502732
33.93911,67.709953,Afghanistan,231577.56,52.56830601,13.91256831
34.802075,38.996815,Syria,239481.9,82.95355191,11.28688525
35.126413,33.429859,Cyprus,227207.19,82.27595628,16.21857923
37.09024,-95.712891,United States,150707.45,70.84153005,44.03278689
38.969719,59.556278,Turkmenistan,221204.67,73.86612022,18.55191257
45.943161,24.96676,Romania,156474.42,61.65300546,43.33879781
46.818188,8.227512,Switzerland,148603.34,47.18852459,44.07923497
52.132633,5.291266,Netherlands,126326.55,58.42896175,53.80054645
56.130366,-106.346771,Canada,103660.63,43.27868852,63.97814208
56.26392,9.501785,Denmark,107237.95,54.50546448,62.24863388
56.879635,24.603189,Latvia,123432.03,51.9726776,59.91530055
58.595272,25.013607,Estonia,109344.07,49.18579235,64.77868852
60.128161,18.643501,Sweden,133907.62,48.4726776,55.26775956
60.472024,8.468946,Norway,138585.03,40.01092896,50.37431694
61.92411,25.748151,Finland,96231.91,46.22131148,69.92076503
64.963051,-19.020835,Iceland,140076.7,34.80054645,50.78142077
